Volgid;volgidm.jpg;volgidf.jpg;North Lappid|Uralid|Pre Slavic|Ladogan|Andronovo-Turanid;volgid.gif
Dinarid;dinaridm.jpg;dinaridf.jpg;Norid|Carpathid|Baskid|Litorid|Mtebid|Armenid;1rzcthw.gif
basic/Dinarid;basic/dinaridm.jpg;basic/dinaridf.jpg;Nordid|East Europid|Alpinid|Armenoid|Orientalid;csaq6wr9.gif
Egyptid;egyptidm.jpg;egyptidf.jpg;Trans Mediterranid|Siwa|African Alpinoid|Arabid|Libyid|Yemenid;ytsw59a.gif
Aetid;aetidm.jpg;aetidf.jpg;North Andamanid|Semangid|South Andamanid|Toalid|Jahai Semangid|Tapirid;we2g3az0.gif
AfricanAlpinoid;africanalpinoidm.jpg;africanalpinoidf.jpg;West Alpinid|Egyptid|Berberid|East Alpinid;oasyn7sq.gif
basic/Bambutid;basic/bambutidm.jpg;basic/bambutidf.jpg;Congolid|Negritid|Sanid|Khoid;h6ngk0rp.gif
Aoshima;aoshimam.jpg;aoshimaf.jpg;Amur-Sakhalin|Ishikawa|Chikuzen|Nesiotid;cgx8e1h8.gif
basic/Ainuid;basic/aoshimam.jpg;basic/aoshimaf.jpg;Sibirid|Margid|Polynesid;gmq9vdov.gif
AistoNordid;aistonordidm.jpg;aistonordidf.jpg;Hallstatt|Fenno Nordid|Tr?nder|Proto Nordid|Tavastid;al5n8nb1.gif
BeringSea;beringseam.jpg;beringseaf.jpg;Chukchid|Inuid|Amur-Sakhalin|Athabaskid;swvkyo0.gif
basic/Pacifid;basic/pacifidm.jpg;basic/pacifidf.jpg;Eskimid|Silvid|Polynesid|Centralid;x2cxvid.gif
Alfoeld;alfoeldm.jpg;alfoeldf.jpg;Pre Slavic|Andronovo-Turanid|Gorid|Aralid|Plains Pamirid;vwjtwvz4.gif
Appalacid;appalacidm.jpg;appalacidf.jpg;Planid|Inuid|Sonorid|Pueblid;hrt6fphg.gif
basic/Alpinid;basic/alpinidm.jpg;basic/alpinidf.jpg;Nordid|Lappid|Dinarid|East Europid|Mediterranid|Armenoid;wy0qkve.gif
Aralid;aralidm.jpg;aralidf.jpg;Samoyedic|Katanga|Andronovo-Turanid|Gobid|Plains Pamirid|Mountain Aralid;0pjp1fc.gif
ProtoNordid;protonordidm.jpg;protonordidf.jpg;Aisto Nordid|Fenno Nordid|Hallstatt|North Pontid|Norid|Indo Nordic;25swjfuq.gif
basic/Amazonid;basic/amazonidm.jpg;basic/amazonidf.jpg;Andid|Centralid|South Mongolid|Lagid|Patagonid;4cjyxbn.gif
basic/Patagonid;basic/patagonidm.jpg;basic/patagonidf.jpg;Andid|Silvid|Lagid|Amazonid;g8aubsk.gif
AmurSakhalin;amursakhalinm.jpg;amursakhalinf.jpg;Baykal|Bering Sea|Gobid|Aoshima|Manchu Korean;cos4b5d.gif
Anatolid;anatolidm.jpg;anatolidf.jpg;Litorid|Mtebid|Armenid|Andronovo-Turanid|Assyroid|East Pamirid;1w8p9vp.gif
basic/Armenoid;basic/armenoidm.jpg;basic/armenoidf.jpg;Dinarid|Turanid|Alpinid|Orientalid;hyuidmje.gif
NorthAndamanid;northandamanidm.jpg;northandamanidf.jpg;Malid|Semangid|South Andamanid|Aetid|Jahai Semangid;lucrz5q.gif
basic/Andid;basic/andidm.jpg;basic/andidf.jpg;Centralid|Amazonid|Patagonid|Lagid;i1fcyucp.gif
AndronovoTuranid;andronovoturanidm.jpg;andronovoturanidf.jpg;Volgid|Aralid|Alf?ld|Transcaspian|Plains Pamirid|Central Pamirid;1e7izae2.gif
AngloSaxon;anglosaxonm.jpg;anglosaxonf.jpg;Hallstatt|Tr?nder|North Atlantid|Dalofaelid;m31oa76.gif
Annamid;annamidm.jpg;annamidf.jpg;Tonkinesid|Chukiangid|East Shanid|Deutero Malayid;xf8ejtqk.gif
basic/Orientalid;basic/orientalidm.jpg;basic/orientalidf.jpg;Mediterranid|Armenoid|Ethiopid|Indid;o5gy8n58.gif
ArabianVeddoid;arabianveddoidm.jpg;arabianveddoidf.jpg;Yemenid|South Gondid|Proto Ethiopid|Vedda;c8f5cnd2.gif
Arabid;arabidm.jpg;arabidf.jpg;Trans Mediterranid|Iranid|Egyptid|Assyroid|Libyid|Yemenid;4jjtaxht.gif
Arizonid;arizonidm.jpg;arizonidf.jpg;Athabaskid|Pacifid|California Pacifid|Planid|Pueblid;6e575xzy.gif
Armenid;armenidm.jpg;armenidf.jpg;Dinarid|Mtebid|Anatolid|Iranid|Assyroid|East Pamirid;rswvkpn.gif
EastAlpinid;eastalpinidm.jpg;eastalpinidf.jpg;Gorid|Mtebid|West Alpinid|Central Brachid|African Alpinoid;eiyawbj.gif
Assyroid;assyroidm.jpg;assyroidf.jpg;Anatolid|Armenid|Litorid|Arabid;oizbgbnc.gif
Eurafricanid;eurafricanidm.jpg;eurafricanidf.jpg;Litorid|Pontid|Gracile Mediterranid|Proto Iranid|Berberid|Trans Mediterranid;0rq2sjb.gif
Athabaskid;athabaskidm.jpg;athabaskidf.jpg;Bering Sea|Inuid|Yenisey|Pacifid|Arizonid;lfa9j6p.gif
basic/Ethiopid;basic/ethiopidm.jpg;basic/ethiopidf.jpg;Nilotid|Orientalid|Bantuid|Indo Melanid;4591u92.gif
basic/Silvid;basic/silvidm.jpg;basic/silvidf.jpg;Pacifid|Eskimid|Margid|Centralid|Patagonid;tglxdzt.gif
NorthAtlantid;northatlantidm.jpg;northatlantidf.jpg;Paleo Atlantid|Hallstatt|Tr?nder|North Pontid|Baskid|Litorid;67axwhm8.gif
basic/Nordid;basic/nordidm.jpg;basic/nordidf.jpg;Alpinid|East Europid|Mediterranid|Dinarid;ouwzqmd1.gif
basic/Australid;basic/australidm.jpg;basic/australidf.jpg;Veddid|Melanesid|Negritid;u6bjwb7.gif
JahaiSemangid;jahaisemangidm.jpg;jahaisemangidf.jpg;North Andamanid|Aetid|Senoid|Semangid|Tapirid|Barrinean;07er07q.gif
Barrinean;barrineanm.jpg;barrineanf.jpg;Tapirid|Desert Australid|South Australid|Tasmanid;w1ofvxp.gif
TwaCwa;twacwam.jpg;twacwaf.jpg;West Bambutid|Mundu Mangbeto|Congolesid|East Bambutid|Mountain Dama;mjjxtxny.gif
WestBambutid;westbambutidm.jpg;westbambutidf.jpg;Guineo Camerunian|East Bambutid|Twa-Cwa;5y7dtpo.gif
basic/EastEuropid;basic/easteuropidm.jpg;basic/easteuropidf.jpg;Nordid|Lappid|Alpinid|Turanid|Dinarid;obzz2nr.gif
EastBambutid;eastbambutidm.jpg;eastbambutidf.jpg;West Bambutid|Mundu Mangbeto|Twa-Cwa|Hadza;qsu472g.gif
basic/Bantuid;basic/bantuidm.jpg;basic/bantuidf.jpg;Sudanid|Ethiopid|Congolid|Nilotid|Khoid;zxtv1xo3.gif
Baskid;baskidm.jpg;baskidf.jpg;North Atlantid|Norid|West Alpinid|Dinarid|Litorid;hkoa7dua.gif
Baykal;baykalm.jpg;baykalf.jpg;Katanga|Chukchid|Gobid|Amur-Sakhalin|Mountain Aralid|Manchu Korean;0pwwe6su.gif
Berberid;berberidm.jpg;berberidf.jpg;Canarid|Eurafricanid|Paleo Sardinian|African Alpinoid|Moorish|Siwa;eu5uugs.gif
MountainDama;mountaindamam.jpg;mountaindamaf.jpg;West Congolesid|Twa-Cwa|Central Bantuid|Hadza|Strandlooper;8b6wnpgj.gif
PaleoSardinian;paleosardinianm.jpg;paleosardinianf.jpg;Paleo Atlantid|Gracile Mediterranid|Canarid|Berberid;xy8lx6w.gif
SouthBantuid;southbantuidm.jpg;southbantuidf.jpg;Congolesid|North Bantuid|Katangid|Central Bantuid|Fengu-Pondo|Malagasid;bggtxnp.gif
Shanid;shanidm.jpg;shanidf.jpg;Tibetid|Changkiangid|East Brachid|Palaungid|Kachinid|East Shanid;bqjgwmd5.gif
PaleoAtlantid;paleoatlantidm.jpg;paleoatlantidf.jpg;North Atlantid|Strandid|Tr?nder|Dalo Faelid|Canarid|Paleo Sardinian;gpajgat.gif
Bobo;bobom.jpg;bobof.jpg;Sudanid|Shar|Casamance|Equatorial Sudanid;2gih5uug.gif
Bororo;bororom.jpg;bororof.jpg;North Andid|Lagoa Santa|Pampid|Huarpid|Patagonid;7widwkbg.gif
Borreby;borrebym.jpg;borrebyf.jpg;Tr?nder|Tavastid|Strandid|Dalo Faelid|West Alpinid|Norid;7zn1csfd.gif
basic/Sanid;basic/sanidm.jpg;basic/sanidf.jpg;Bambutid|Khoid;50sr393.gif
Botocudo;botocudom.jpg;botocudof.jpg;South Amazonid|Lagoa Santa|Huarpid|South Fuegid;ihbqlhjo.gif
BrachioMelanesid;brachiomelanesidm.jpg;brachiomelanesidf.jpg;Mountain Melanesid|Bukaid|Insular Melanesid|Tapirid|Neo Melanesid;0zxi3ng.gif
Bukaid;bukaidm.jpg;bukaidf.jpg;Insular Melanesid|Brachio Melanesid|North Australid|Paleo Melanesid;z7jq1mo5.gif
Gobid;gobidm.jpg;gobidf.jpg;Aralid|Baykal|Mountain Aralid|Amur-Sakhalin|Kham|Manchu-Korean;r031vg9i.gif
CaliforniaPacifid;californiapacifidm.jpg;californiapacifidf.jpg;Pacifid|Planid|Sonorid|Arizonid;78and0pa.gif
Californid;californidm.jpg;californidf.jpg;Sonorid|Mexicid|Choc?-Motilon;1i528vos.gif
WestCongolesid;westcongolesidm.jpg;westcongolesidf.jpg;Guineo Camerunian|Equatorial Sudanid|Guinesid|Congolesid|Mountain Dama;we0u5iw.gif
LagoaSanta;lagoasantam.jpg;lagoasantaf.jpg;West Amazonid|South Amazonid|Bororo|Botocudo|Huarpid|South Fuegid;6sif7cq7.gif
Malabarese;malabaresem.jpg;malabaresef.jpg;GracileIndid|Kolid|Keralid|Toda|Karnatid;ilgwdh8k.gif
Canarid;canaridm.jpg;canaridf.jpg;Paleo Atlantid|Dalo Faelid|Berberid|Paleo Sardinian;ep18sf92.gif
Micronesid;micronesidm.jpg;micronesidf.jpg;Dayakid|Nesiotid|Proto Malayid|Fijid|South Polynesid;h51h498g.gif
Carpathid;carpathidm.jpg;carpathidf.jpg;Gorid|Dinarid|Norid|Mtebid;u8eggjo.gif
